instant,dteday,season,mnth,hr,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,01-01-2011,1,1,0,6,1,0.24,0.2879,0.81,0.0,3,13,16
2,01-01-2011,1,1,1,6,1,0.22,0.2727,0.8,0.0,8,32,40
3,01-01-2011,1,1,2,6,1,0.22,0.2727,0.8,0.0,5,27,32
4,01-01-2011,1,1,3,6,1,0.24,0.2879,0.75,0.0,3,10,13
5,01-01-2011,1,1,4,6,1,0.24,0.2879,0.75,0.0,0,1,1
6,01-01-2011,1,1,5,6,2,0.24,0.2576,0.75,0.0896,0,1,1
7,01-01-2011,1,1,6,6,1,0.22,0.2727,0.8,0.0,2,0,2
8,01-01-2011,1,1,7,6,1,0.2,0.2576,0.86,0.0,1,2,3
9,01-01-2011,1,1,8,6,1,0.24,0.21195783619817998,0.75,0.0,1,7,8
10,01-01-2011,1,1,9,6,1,0.32,0.3485,0.76,0.0,8,6,14
11,01-01-2011,1,1,10,6,1,0.38,0.3939,0.76,0.2537,12,24,36
12,01-01-2011,1,1,11,6,1,0.36,0.3333,0.81,0.2836,26,30,56
13,01-01-2011,1,1,12,6,1,0.42,0.4242,0.77,0.2836,29,55,84
14,01-01-2011,1,1,13,6,2,0.46,0.4545,0.72,0.2985,47,47,94
15,01-01-2011,1,1,14,6,2,0.46,0.4545,0.72,0.2836,35,71,106
16,01-01-2011,1,1,15,6,2,0.44,0.4394,0.77,0.2985,40,70,110
17,01-01-2011,1,1,16,6,2,0.42,0.4242,0.82,0.2985,41,52,93
18,01-01-2011,1,1,17,6,2,0.44,0.21195783619817998,0.82,0.2836,15,52,67
19,01-01-2011,1,1,18,6,3,0.42,0.4242,0.88,0.2537,9,26,35
20,01-01-2011,1,1,19,6,3,0.42,0.4242,0.88,0.2537,6,31,37
21,01-01-2011,1,1,20,6,2,0.4,0.4091,0.87,0.2537,11,25,36
22,01-01-2011,1,1,21,6,2,0.4,0.4091,0.87,0.194,3,31,34
23,01-01-2011,1,1,22,6,2,0.4,0.4091,0.94,0.2239,11,17,28
24,01-01-2011,1,1,23,6,2,0.46,0.21195783619817998,0.88,0.2985,15,24,39
25,02-01-2011,1,1,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
26,02-01-2011,1,1,1,0,2,0.44,0.4394,0.94,0.2537,1,16,17
27,02-01-2011,1,1,2,0,2,0.42,0.4242,1.0,0.2836,1,8,9
28,02-01-2011,1,1,3,0,2,0.46,0.4545,0.94,0.194,2,4,6
29,02-01-2011,1,1,4,0,2,0.46,0.21195783619817998,0.94,0.194,2,1,3
30,02-01-2011,1,1,6,0,3,0.42,0.4242,0.77,0.2985,0,2,2
31,02-01-2011,1,1,7,0,2,0.4,0.4091,0.76,0.194,0,1,1
32,02-01-2011,1,1,8,0,3,0.4,0.4091,0.71,0.2239,0,8,8
33,02-01-2011,1,1,9,0,2,0.38,0.21195783619817998,0.76,0.2239,1,19,20
34,02-01-2011,1,1,10,0,2,0.36,0.3485,0.81,0.2239,7,46,53
35,02-01-2011,1,1,11,0,2,0.36,0.3333,0.71,0.2537,16,54,70
36,02-01-2011,1,1,12,0,2,0.36,0.3333,0.66,0.2985,20,73,93
37,02-01-2011,1,1,13,0,2,0.36,0.3485,0.66,0.1343,11,64,75
38,02-01-2011,1,1,14,0,3,0.36,0.21195783619817998,0.76,0.194,4,55,59
39,02-01-2011,1,1,15,0,3,0.34,0.3333,0.81,0.1642,19,55,74
40,02-01-2011,1,1,16,0,3,0.34,0.3333,0.71,0.1642,9,67,76
41,02-01-2011,1,1,17,0,1,0.34,0.3333,0.57,0.194,7,58,65
42,02-01-2011,1,1,18,0,2,0.36,0.3333,0.46,0.3284,10,43,53
43,02-01-2011,1,1,19,0,1,0.32,0.2879,0.42,0.4478,1,29,30
44,02-01-2011,1,1,20,0,1,0.3,0.21195783619817998,0.39,0.3582,5,17,22
45,02-01-2011,1,1,21,0,1,0.26,0.2273,0.44,0.3284,11,20,31
46,02-01-2011,1,1,22,0,1,0.24,0.2121,0.44,0.2985,0,9,9
47,02-01-2011,1,1,23,0,1,0.22,0.2273,0.47,0.1642,0,8,8
48,03-01-2011,1,1,0,1,1,0.22,0.197,0.44,0.3582,0,5,5
49,03-01-2011,1,1,1,1,1,0.2,0.21195783619817998,0.44,0.4179,0,2,2
50,03-01-2011,1,1,4,1,1,0.16,0.1364,0.47,0.3881,0,1,1
51,03-01-2011,1,1,5,1,1,0.16,0.1364,0.47,0.2836,0,3,3
52,03-01-2011,1,1,6,1,1,0.14,0.1061,0.5,0.3881,0,30,30
53,03-01-2011,1,1,7,1,1,0.14,0.1364,0.5,0.194,1,63,64
54,03-01-2011,1,1,8,1,1,0.14,0.1212,0.5,0.2836,1,153,154
55,03-01-2011,1,1,9,1,1,0.16,0.1364,0.43,0.3881,7,81,88
56,03-01-2011,1,1,10,1,1,0.18,0.1667,0.43,0.2537,11,33,44
57,03-01-2011,1,1,11,1,1,0.2,0.1818,0.4,0.3284,10,41,51
58,03-01-2011,1,1,12,1,1,0.22,0.2121,0.35,0.2985,13,48,61
59,03-01-2011,1,1,13,1,1,0.24,0.21195783619817998,0.35,0.2836,8,53,61
60,03-01-2011,1,1,14,1,1,0.26,0.2424,0.3,0.2836,11,66,77
61,03-01-2011,1,1,15,1,1,0.26,0.2424,0.3,0.2537,14,58,72
62,03-01-2011,1,1,16,1,1,0.26,0.2424,0.3,0.2537,9,67,76
63,03-01-2011,1,1,17,1,1,0.24,0.2273,0.3,0.2239,11,146,157
64,03-01-2011,1,1,18,1,1,0.24,0.2576,0.32,0.1045,9,148,157
65,03-01-2011,1,1,19,1,1,0.2,0.2576,0.47,0.0,8,102,110
66,03-01-2011,1,1,20,1,1,0.2,0.21195783619817998,0.47,0.1045,3,49,52
67,03-01-2011,1,1,21,1,1,0.18,0.197,0.64,0.1343,3,49,52
68,03-01-2011,1,1,22,1,1,0.14,0.1515,0.69,0.1343,0,20,20
69,03-01-2011,1,1,23,1,1,0.18,0.2121,0.55,0.1045,1,11,12
70,04-01-2011,1,1,0,2,1,0.16,0.21195783619817998,0.55,0.1045,0,5,5
71,04-01-2011,1,1,1,2,1,0.16,0.1818,0.59,0.1045,0,2,2
72,04-01-2011,1,1,2,2,1,0.14,0.1515,0.63,0.1343,0,1,1
73,04-01-2011,1,1,4,2,1,0.14,0.1818,0.63,0.0896,0,2,2
74,04-01-2011,1,1,5,2,1,0.12,0.1515,0.68,0.1045,0,4,4
75,04-01-2011,1,1,6,2,1,0.12,0.1515,0.74,0.1045,0,36,36
76,04-01-2011,1,1,7,2,1,0.12,0.1515,0.74,0.1343,2,92,94
77,04-01-2011,1,1,8,2,1,0.14,0.1515,0.69,0.1642,2,177,179
78,04-01-2011,1,1,9,2,1,0.16,0.1515,0.64,0.2239,2,98,100
79,04-01-2011,1,1,10,2,2,0.16,0.1364,0.69,0.3284,5,37,42
80,04-01-2011,1,1,11,2,1,0.22,0.2121,0.51,0.2985,7,50,57
81,04-01-2011,1,1,12,2,1,0.22,0.2273,0.51,0.1642,12,66,78
82,04-01-2011,1,1,13,2,1,0.24,0.2273,0.56,0.194,18,79,97
83,04-01-2011,1,1,14,2,1,0.26,0.2576,0.52,0.2239,9,54,63
84,04-01-2011,1,1,15,2,1,0.28,0.2727,0.52,0.2537,17,48,65
85,04-01-2011,1,1,16,2,1,0.3,0.2879,0.49,0.2537,15,68,83
86,04-01-2011,1,1,17,2,1,0.28,0.2727,0.48,0.2239,10,202,212
87,04-01-2011,1,1,18,2,1,0.26,0.2576,0.48,0.194,3,179,182
88,04-01-2011,1,1,19,2,1,0.24,0.2576,0.48,0.1045,2,110,112
89,04-01-2011,1,1,20,2,1,0.24,0.2576,0.48,0.1045,1,53,54
90,04-01-2011,1,1,21,2,1,0.22,0.2727,0.64,0.0,0,48,48
91,04-01-2011,1,1,22,2,1,0.22,0.2576,0.64,0.0896,1,34,35
92,04-01-2011,1,1,23,2,1,0.2,0.2273,0.69,0.0896,2,9,11
93,05-01-2011,1,1,0,3,1,0.2,0.2576,0.64,0.0,0,6,6
94,05-01-2011,1,1,1,3,1,0.16,0.197,0.74,0.0896,0,6,6
95,05-01-2011,1,1,2,3,1,0.16,0.197,0.74,0.0896,0,2,2
96,05-01-2011,1,1,4,3,1,0.24,0.2273,0.48,0.2239,0,2,2
97,05-01-2011,1,1,5,3,1,0.22,0.2273,0.47,0.1642,0,3,3
98,05-01-2011,1,1,6,3,1,0.2,0.197,0.47,0.2239,0,33,33
99,05-01-2011,1,1,7,3,1,0.18,0.1818,0.43,0.194,1,87,88
100,05-01-2011,1,1,8,3,1,0.2,0.1818,0.4,0.2985,3,192,195
101,05-01-2011,1,1,9,3,1,0.22,0.197,0.37,0.3284,6,109,115
102,05-01-2011,1,1,10,3,1,0.22,0.197,0.37,0.3284,4,53,57
103,05-01-2011,1,1,11,3,1,0.26,0.2273,0.33,0.3284,12,34,46
104,05-01-2011,1,1,12,3,1,0.26,0.2273,0.33,0.3284,5,74,79
105,05-01-2011,1,1,13,3,1,0.28,0.2576,0.3,0.2985,6,65,71
106,05-01-2011,1,1,14,3,1,0.3,0.2879,0.28,0.194,10,52,62
107,05-01-2011,1,1,15,3,1,0.3,0.2879,0.28,0.194,7,55,62
108,05-01-2011,1,1,16,3,1,0.3,0.3182,0.28,0.0896,4,85,89
109,05-01-2011,1,1,17,3,1,0.24,0.2273,0.38,0.194,4,186,190
110,05-01-2011,1,1,18,3,1,0.24,0.2424,0.38,0.1343,3,166,169
111,05-01-2011,1,1,19,3,1,0.24,0.2576,0.38,0.1045,5,127,132
112,05-01-2011,1,1,20,3,1,0.22,0.2273,0.47,0.1642,7,82,89
113,05-01-2011,1,1,21,3,1,0.2,0.197,0.51,0.194,3,40,43
114,05-01-2011,1,1,22,3,1,0.18,0.197,0.55,0.1343,1,41,42
115,05-01-2011,1,1,23,3,1,0.2,0.2576,0.47,0.0,1,18,19
116,06-01-2011,1,1,0,4,1,0.18,0.2424,0.55,0.0,0,11,11
117,06-01-2011,1,1,1,4,1,0.16,0.2273,0.64,0.0,0,4,4
118,06-01-2011,1,1,2,4,1,0.16,0.2273,0.64,0.0,0,2,2
119,06-01-2011,1,1,4,4,2,0.16,0.197,0.64,0.0896,0,1,1
120,06-01-2011,1,1,5,4,2,0.14,0.1818,0.69,0.0896,0,4,4
121,06-01-2011,1,1,6,4,2,0.14,0.1667,0.63,0.1045,0,36,36
122,06-01-2011,1,1,7,4,2,0.16,0.2273,0.59,0.0,0,95,95
123,06-01-2011,1,1,8,4,1,0.16,0.2273,0.59,0.0,3,216,219
124,06-01-2011,1,1,9,4,2,0.18,0.2424,0.51,0.0,6,116,122
125,06-01-2011,1,1,10,4,1,0.2,0.2576,0.47,0.0,3,42,45
126,06-01-2011,1,1,11,4,1,0.22,0.2576,0.44,0.0896,2,57,59
127,06-01-2011,1,1,12,4,1,0.26,0.2879,0.35,0.0,6,78,84
128,06-01-2011,1,1,13,4,1,0.26,0.2727,0.35,0.1045,12,55,67
129,06-01-2011,1,1,14,4,1,0.28,0.2727,0.36,0.1642,11,59,70
130,06-01-2011,1,1,15,4,1,0.28,0.2727,0.36,0.0,8,54,62
131,06-01-2011,1,1,16,4,1,0.26,0.2576,0.38,0.1642,12,74,86
132,06-01-2011,1,1,17,4,1,0.22,0.2273,0.51,0.1642,9,163,172
133,06-01-2011,1,1,18,4,1,0.22,0.2273,0.51,0.1343,5,158,163
134,06-01-2011,1,1,19,4,1,0.22,0.2576,0.55,0.0896,3,109,112
135,06-01-2011,1,1,20,4,1,0.2,0.2121,0.51,0.1642,3,66,69
136,06-01-2011,1,1,21,4,2,0.22,0.2121,0.55,0.2239,0,48,48
137,06-01-2011,1,1,22,4,2,0.22,0.2121,0.51,0.2836,1,51,52
138,06-01-2011,1,1,23,4,2,0.2,0.197,0.59,0.194,4,19,23
139,07-01-2011,1,1,0,5,2,0.2,0.197,0.64,0.194,4,13,17
140,07-01-2011,1,1,1,5,2,0.2,0.197,0.69,0.2239,2,5,7
141,07-01-2011,1,1,2,5,2,0.2,0.197,0.69,0.2239,0,1,1
142,07-01-2011,1,1,4,5,2,0.2,0.2121,0.69,0.1343,0,1,1
143,07-01-2011,1,1,5,5,3,0.22,0.2727,0.55,0.0,0,5,5
144,07-01-2011,1,1,6,5,2,0.2,0.2576,0.69,0.0,8,26,34
145,07-01-2011,1,1,7,5,1,0.2,0.2121,0.69,0.1343,8,76,84
146,07-01-2011,1,1,8,5,1,0.2,0.197,0.51,0.2537,20,190,210
147,07-01-2011,1,1,9,5,1,0.2,0.1818,0.47,0.2985,9,125,134
148,07-01-2011,1,1,10,5,1,0.22,0.197,0.37,0.3284,16,47,63
149,07-01-2011,1,1,11,5,2,0.2,0.197,0.4,0.2239,19,48,67
150,07-01-2011,1,1,12,5,2,0.2,0.197,0.37,0.2537,9,50,59
151,07-01-2011,1,1,13,5,2,0.2,0.1818,0.37,0.2836,9,64,73
152,07-01-2011,1,1,14,5,2,0.2,0.197,0.4,0.2537,7,43,50
153,07-01-2011,1,1,15,5,2,0.2,0.2121,0.37,0.1642,9,63,72
154,07-01-2011,1,1,16,5,2,0.2,0.2121,0.37,0.1642,5,82,87
155,07-01-2011,1,1,17,5,2,0.2,0.2576,0.37,0.0,9,178,187
156,07-01-2011,1,1,18,5,1,0.2,0.2273,0.4,0.0896,7,116,123
157,07-01-2011,1,1,19,5,1,0.16,0.197,0.55,0.0896,3,92,95
158,07-01-2011,1,1,20,5,1,0.18,0.2121,0.47,0.1045,1,50,51
159,07-01-2011,1,1,21,5,1,0.18,0.197,0.47,0.1343,0,39,39
160,07-01-2011,1,1,22,5,2,0.18,0.197,0.43,0.1642,2,34,36
161,07-01-2011,1,1,23,5,2,0.18,0.197,0.51,0.1642,1,14,15
162,08-01-2011,1,1,0,6,2,0.18,0.197,0.51,0.1642,1,24,25
163,08-01-2011,1,1,1,6,2,0.18,0.2121,0.55,0.0896,1,15,16
164,08-01-2011,1,1,2,6,2,0.18,0.2424,0.55,0.0,3,13,16
165,08-01-2011,1,1,3,6,3,0.18,0.197,0.55,0.1642,0,7,7
166,08-01-2011,1,1,4,6,3,0.18,0.197,0.55,0.1642,0,1,1
167,08-01-2011,1,1,5,6,2,0.16,0.1667,0.74,0.1642,0,5,5
168,08-01-2011,1,1,6,6,2,0.16,0.1667,0.74,0.1642,0,2,2
169,08-01-2011,1,1,7,6,2,0.16,0.1818,0.74,0.1045,1,8,9
170,08-01-2011,1,1,8,6,3,0.16,0.1818,0.93,0.1045,0,15,15
171,08-01-2011,1,1,9,6,3,0.16,0.1818,0.93,0.1045,0,20,20
172,08-01-2011,1,1,10,6,2,0.18,0.197,0.8,0.1642,5,56,61
173,08-01-2011,1,1,11,6,2,0.2,0.1818,0.69,0.3881,2,60,62
174,08-01-2011,1,1,12,6,2,0.2,0.1818,0.59,0.3582,8,90,98
175,08-01-2011,1,1,13,6,1,0.2,0.1818,0.44,0.3284,7,95,102
176,08-01-2011,1,1,14,6,1,0.2,0.1667,0.32,0.4925,12,83,95
177,08-01-2011,1,1,15,6,1,0.2,0.1667,0.32,0.4478,5,69,74
178,08-01-2011,1,1,16,6,1,0.18,0.1364,0.29,0.4478,8,68,76
179,08-01-2011,1,1,17,6,1,0.16,0.1212,0.37,0.5522,5,64,69
180,08-01-2011,1,1,18,6,1,0.14,0.1212,0.39,0.2985,3,52,55
181,08-01-2011,1,1,19,6,1,0.14,0.1212,0.36,0.2537,4,26,30
182,08-01-2011,1,1,20,6,1,0.12,0.1212,0.36,0.2537,0,28,28
183,08-01-2011,1,1,21,6,1,0.12,0.1061,0.39,0.3582,2,35,37
184,08-01-2011,1,1,22,6,1,0.12,0.1061,0.36,0.3881,1,33,34
185,08-01-2011,1,1,23,6,1,0.1,0.0606,0.39,0.4478,0,22,22
186,09-01-2011,1,1,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
187,09-01-2011,1,1,1,0,1,0.1,0.0606,0.42,0.4627,0,12,12
188,09-01-2011,1,1,2,0,1,0.1,0.0606,0.46,0.4627,0,11,11
189,09-01-2011,1,1,3,0,1,0.1,0.0758,0.46,0.4179,0,4,4
190,09-01-2011,1,1,4,0,1,0.08,0.0909,0.53,0.194,0,1,1
191,09-01-2011,1,1,5,0,1,0.08,0.0909,0.53,0.194,0,1,1
192,09-01-2011,1,1,6,0,1,0.1,0.0909,0.49,0.2836,0,1,1
193,09-01-2011,1,1,7,0,1,0.08,0.0909,0.53,0.194,1,5,6
194,09-01-2011,1,1,8,0,1,0.1,0.0909,0.49,0.2836,0,10,10
195,09-01-2011,1,1,9,0,1,0.12,0.0758,0.46,0.5224,0,19,19
196,09-01-2011,1,1,10,0,1,0.14,0.1061,0.43,0.3881,0,49,49
197,09-01-2011,1,1,11,0,1,0.16,0.1212,0.4,0.5224,2,47,49
198,09-01-2011,1,1,12,0,1,0.18,0.1364,0.37,0.4478,4,79,83
199,09-01-2011,1,1,13,0,1,0.2,0.1667,0.34,0.4478,6,69,75
200,09-01-2011,1,1,14,0,1,0.22,0.1818,0.32,0.4627,8,64,72
201,09-01-2011,1,1,15,0,1,0.22,0.197,0.35,0.3582,5,77,82
202,09-01-2011,1,1,16,0,1,0.2,0.1667,0.34,0.4478,13,79,92
203,09-01-2011,1,1,17,0,1,0.18,0.1515,0.37,0.3881,3,59,62
204,09-01-2011,1,1,18,0,1,0.16,0.1364,0.4,0.3284,4,44,48
205,09-01-2011,1,1,19,0,1,0.16,0.1364,0.43,0.3284,1,40,41
206,09-01-2011,1,1,20,0,1,0.14,0.1212,0.46,0.2537,0,38,38
207,09-01-2011,1,1,21,0,1,0.14,0.1061,0.46,0.4179,1,19,20
208,09-01-2011,1,1,22,0,1,0.14,0.1212,0.46,0.2985,5,10,15
209,09-01-2011,1,1,23,0,1,0.12,0.1364,0.5,0.194,0,6,6
210,10-01-2011,1,1,0,1,1,0.12,0.1212,0.5,0.2836,2,3,5
211,10-01-2011,1,1,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
212,10-01-2011,1,1,2,1,1,0.12,0.1212,0.5,0.2239,0,3,3
213,10-01-2011,1,1,3,1,1,0.12,0.1212,0.5,0.2239,0,1,1
214,10-01-2011,1,1,4,1,1,0.1,0.1212,0.54,0.1343,1,2,3
215,10-01-2011,1,1,5,1,1,0.1,0.1061,0.54,0.2537,0,3,3
216,10-01-2011,1,1,6,1,1,0.12,0.1212,0.5,0.2836,0,31,31
217,10-01-2011,1,1,7,1,1,0.12,0.1212,0.5,0.2239,2,75,77
218,10-01-2011,1,1,8,1,2,0.12,0.1212,0.5,0.2836,4,184,188
219,10-01-2011,1,1,9,1,2,0.14,0.1212,0.5,0.2537,2,92,94
220,10-01-2011,1,1,10,1,2,0.14,0.1212,0.5,0.2985,0,31,31
221,10-01-2011,1,1,11,1,2,0.16,0.1364,0.47,0.2836,2,28,30
222,10-01-2011,1,1,12,1,2,0.2,0.1818,0.4,0.2836,5,47,52
223,10-01-2011,1,1,13,1,2,0.2,0.1818,0.4,0.2836,4,50,54
224,10-01-2011,1,1,14,1,2,0.2,0.197,0.4,0.2239,0,47,47
225,10-01-2011,1,1,15,1,2,0.2,0.197,0.4,0.2239,2,43,45
226,10-01-2011,1,1,16,1,1,0.2,0.2121,0.4,0.1343,4,70,74
227,10-01-2011,1,1,17,1,1,0.2,0.2273,0.4,0.1045,4,174,178
228,10-01-2011,1,1,18,1,1,0.2,0.197,0.4,0.2239,1,154,155
229,10-01-2011,1,1,19,1,1,0.16,0.1667,0.47,0.1642,3,92,95
230,10-01-2011,1,1,20,1,1,0.16,0.1667,0.5,0.1642,1,73,74
231,10-01-2011,1,1,21,1,1,0.14,0.1364,0.59,0.194,1,37,38
232,10-01-2011,1,1,22,1,1,0.14,0.1515,0.59,0.1642,2,22,24
233,10-01-2011,1,1,23,1,1,0.14,0.1515,0.59,0.1642,0,18,18
234,11-01-2011,1,1,0,2,1,0.14,0.1667,0.59,0.1045,2,10,12
235,11-01-2011,1,1,1,2,1,0.14,0.1515,0.59,0.1642,0,3,3
236,11-01-2011,1,1,2,2,2,0.16,0.1515,0.55,0.194,0,3,3
237,11-01-2011,1,1,5,2,2,0.16,0.1818,0.55,0.1343,0,6,6
238,11-01-2011,1,1,6,2,2,0.16,0.1818,0.55,0.1343,0,27,27
239,11-01-2011,1,1,7,2,2,0.16,0.2273,0.55,0.0,2,97,99
240,11-01-2011,1,1,8,2,2,0.18,0.2121,0.51,0.0896,3,214,217
241,11-01-2011,1,1,9,2,2,0.18,0.197,0.51,0.1642,3,127,130
242,11-01-2011,1,1,10,2,2,0.2,0.2121,0.51,0.1642,3,51,54
243,11-01-2011,1,1,11,2,2,0.2,0.2121,0.47,0.1343,4,31,35
244,11-01-2011,1,1,12,2,2,0.2,0.2273,0.51,0.1045,2,55,57
245,11-01-2011,1,1,13,2,2,0.2,0.2273,0.59,0.0896,6,46,52
246,11-01-2011,1,1,14,2,2,0.2,0.2273,0.59,0.0896,3,60,63
247,11-01-2011,1,1,15,2,2,0.16,0.197,0.8,0.0896,2,45,47
248,11-01-2011,1,1,16,2,2,0.16,0.1515,0.86,0.2239,4,72,76
